2025-09-24 23:42:35 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-24 23:42:35 | DEBUG | TradingBot | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 114000.0, 'timeInForce': 'GTC', 'timestamp': 1758737555246, 'signature': '46faf940ed7897d32e5821efca7d8ac93ced5c33d235afe837d09625580c9258'}
2025-09-24 23:42:35 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5678446633,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ITrtcGbFdpmeQfylbVa4XE","price":"114000.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1758737556134}
2025-09-24 23:42:35 | DEBUG | TradingBot | REQUEST GET https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 5678446633, 'timestamp': 1758737555853, 'signature': '4d2ee98482032c955a8f3eb791dac714538963c2bf7499f59905674c6b86c813'}
2025-09-24 23:42:36 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5678446633,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ITrtcGbFdpmeQfylbVa4XE","price":"114000.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"time":1758737556134,"updateTime":1758737556134}
2025-09-24 23:43:02 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
2025-09-24 23:43:02 | DEBUG | TradingBot | REQUEST POST https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 0.001, 'stopPrice': 11300.0, 'price': 112900.0, 'timeInForce': 'GTC', 'timestamp': 1758737582659, 'signature': '7b6edd3b63970d0c8604693854111d9801ca841e4149424a8f083e81f79d73df'}
2025-09-24 23:43:03 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5678447386,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"zw83yCGpjYArhFBUcBrKzv","price":"112900.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"11300.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1758737583536}
2025-09-24 23:43:03 | DEBUG | TradingBot | REQUEST GET https://testnet.binancefuture.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'orderId': 5678447386, 'timestamp': 1758737583234, 'signature': '561ba79de19291e1992e7a7af394ad461070b7ce5f38078f64b81600d03a4aa2'}
2025-09-24 23:43:03 | DEBUG | TradingBot | RESPONSE 200: {"orderId":5678447386,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"zw83yCGpjYArhFBUcBrKzv","price":"112900.00","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"11300.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"time":1758737583536,"updateTime":1758737583536}
2025-09-25 12:12:48 | INFO | TradingBot | TradingBot initialized (base_url=https://testnet.binancefuture.com)
